Iteration,TimeRegisterVoter (ms),Gas (Unit),Gas Cost (USD)
49,956.0650420188904, 1075781, 1.7083509858100001
50,994.441790997982, 1072768, 1.70356631168
51,967.8849160075188, 1072745, 1.70352978745
52,903.9849579930305, 1069732, 1.6987451133200002
53,903.5890409946442, 1072722, 1.70349326322
54,961.4008749723434, 1069709, 1.69870858909
55,910.406916975975, 1069686, 1.69867206486
56,909.0461670160294, 1066673, 1.69388739073
57,932.6453750133514, 1072699, 1.7034567389900002
58,958.5044170022011, 1069674, 1.69865300874
59,915.7573340535164, 1069663, 1.69863554063
60,902.0603330135345, 1066650, 1.6938508664999998
61,923.6974170207977, 1069640, 1.6985990164
62,964.9950829744339, 1066627, 1.6938143422699998
63,935.2217500209808, 1066592, 1.69375876192
64,904.8348329663277, 1063591, 1.68899314391
65,928.7127079963684, 1078851, 1.71322617651
66,973.8231250047684, 1075850, 1.7084605585
67,922.6643750071526, 1075827, 1.70842403427
68,910.04808396101, 1072814, 1.7036393601400002
69,966.2798329591751, 1075804, 1.7083875100400001
70,948.1480000019073, 1072791, 1.70360283591
71,949.7851250171661, 1072768, 1.70356631168
72,940.695583999157, 1069755, 1.6987816375499998
73,936.1606670022011, 1075781, 1.7083509858100001
74,957.1748329997063, 1072768, 1.70356631168
75,912.3612090349197, 1072745, 1.70352978745
76,916.509249985218, 1069732, 1.6987451133200002
77,901.4403750300407, 1072722, 1.70349326322
78,959.6762080192566, 1069697, 1.6986895329700002
79,940.1275419592857, 1069686, 1.69867206486
80,905.731625020504, 1066673, 1.69388739073
81,936.2009999752045, 1075746, 1.7082954054600001
82,962.0051659941673, 1072745, 1.70352978745
83,936.8867909908295, 1072722, 1.70349326322
84,910.3040829896927, 1069685, 1.6986704768499998
85,937.8460410237312, 1072687, 1.7034376828699997
86,965.4523329734802, 1069686, 1.69867206486
87,923.0102499723434, 1069663, 1.69863554063
88,902.6061670184135, 1066650, 1.6938508664999998
89,924.5476660132408, 1072676, 1.7034202147600002
90,971.9801250100136, 1069663, 1.69863554063
91,931.4915420413017, 1069628, 1.69857996028
92,904.6760419607162, 1066615, 1.6937952861499999
93,910.1119999885559, 1069617, 1.6985624921699998
94,979.4519999623299, 1066604, 1.69377781804
95,1072.1791249513626, 1066581, 1.69374129381
96,935.5927500128746, 1063568, 1.6889566196799999
97,944.7194579839706, 1075735, 1.7082779373499999
98,981.1188750267029, 1072722, 1.70349326322
99,929.9810839891434, 1072699, 1.7034567389900002
100,929.972375035286, 1069686, 1.69867206486
101,926.4533750414848, 1072676, 1.7034202147600002
102,978.8895000219345, 1069663, 1.69863554063
103,922.9065420031548, 1069640, 1.6985990164
104,918.0062500238419, 1066627, 1.6938143422699998
105,917.654000043869, 1072641, 1.70336463441
106,946.5066660046577, 1069640, 1.6985990164
107,921.5589590072632, 1069605, 1.6985434360499998
