Iteration, ProofGenerationTime (ms)
320,2256.5693330168724
321,2331.12616699934
322,2282.76441603899
323,2277.8529170155525
324,2308.1053749918938
325,2292.172666013241
326,2298.507542014122
327,2275.0734580159187
328,2265.1379170417786
329,2303.4732500314713
330,2335.2994589805603
331,2255.757000029087
332,2317.572707951069
333,2283.169166982174
334,2217.73320800066
335,2283.8961669802666
336,2305.4900420308113
337,2336.0692079663277
338,2281.8834169507027
339,2261.669041991234
340,2325.6728749871254
341,2356.8630830049515
342,2371.7956669926643
343,2350.5868750214577
344,2298.6751660108566
345,2319.2785410284996
346,2290.8219160437584
347,2359.491165995598
348,2281.270541012287
349,2267.823332965374
350,2334.974834024906
351,2311.708584010601
352,2277.669542014599
353,2260.819540977478
354,2303.0149160027504
