Iteration, ProofGenerationTime (ms)
1,2126.0693340301514
2,2031.520582973957
1,2113.396583020687
2,2095.761041998863
1,2138.9580419659615
2,2089.6616669893265
3,1980.604582965374
4,2040.005874991417
5,2030.6747919917107
6,2019.4696670174599
7,2051.7158749699593
8,1997.2799580097198
9,1973.2727920413017
10,2017.2862920165062
11,1995.5681250095367
12,2029.3392080068588
13,2033.6917499899864
14,2003.1230829954147
15,2016.5124579668045
16,2019.5697079896927
17,2114.743209004402
18,2031.6042919754982
19,2041.6156669855118
20,2101.720416009426
21,2049.6102079749107
22,2041.161709010601
23,2053.4697499871254
24,2102.912541985512
25,2052.7133330106735
26,1972.509666979313
27,2038.8273329734802
28,2136.366666018963
29,2381.212499976158
30,2126.935707986355
31,2005.0800839662552
32,2007.0252499580383
33,2046.3452080488205
34,1983.9614589810371
35,2049.4813330173492
36,2018.303875029087
37,2047.6401669979095
38,2044.74995803833
39,2057.79541605711
40,2059.136166036129
41,2134.119917035103
42,2151.7677500247955
43,2197.4589579701424
44,2173.3336250185966
45,2055.596374988556
46,2050.687209010124
47,2059.121833026409
48,2188.688791036606
49,2140.816915988922
50,2177.719375014305
51,2143.8364999890327
52,2055.6208750009537
53,2081.806208014488
54,2068.8409589529037
55,2037.8075830340385
56,2045.3034999966621
57,2140.3546249866486
58,2071.28341704607
59,2071.4840409755707
60,2067.7891669869423
61,2088.213290989399
62,2041.8788340091705
63,2087.20304197073
64,2123.4250829815865
65,2126.2180420160294
66,2139.140709042549
67,2102.49891602993
68,2113.359791994095
69,2390.955959022045
70,2068.5208750367165
71,2073.832665979862
72,2057.848583996296
73,2112.181625008583
74,2170.12475001812
75,2110.665333032608
76,2071.789458990097
77,2023.768750011921
78,2144.620167016983
79,2088.805374979973
80,2121.136457979679
81,2058.733417034149
82,2097.715083003044
83,2174.040250003338
84,2167.207542002201
85,2132.792584002018
86,2225.621708035469
87,2257.7599999904633
88,2146.742166996002
89,2140.1735000014305
90,2079.7660830020905
91,2198.859791994095
92,2105.8990409970284
93,2099.5915830135345
94,2134.252999961376
95,2079.779457986355
96,2091.1720829606056
97,2167.7103750109673
98,2119.191666007042
99,2149.2633749842644
100,2062.87254101038
101,2121.6958749890327
102,2061.455583035946
103,2097.0075840353966
104,2071.0441249608994
105,2065.150416970253
106,2115.8016669750214
107,2081.366041958332
108,2059.977249979973
109,2085.9772909879684
110,2118.5992500185966
111,2101.7908329963684
112,2115.480458021164
113,2079.014332950115
114,2088.5961250066757
115,2076.6545830368996
116,2332.484625041485
117,2194.6137080192566
118,2173.876457989216
119,2212.1372079849243
120,2178.7349579930305
121,2180.57695800066
122,2109.9194579720497
123,2160.556458055973
124,2186.894915997982
125,2150.736749947071
126,2092.248458981514
127,2278.7233750224113
128,2108.521583020687
129,2155.502709031105
130,2150.386041998863
131,2228.8264159560204
132,2798.033041000366
133,2178.3528329730034
134,2335.5391669869423
135,2100.2456250190735
136,2227.7657500505447
137,2134.8873329758644
138,2212.3847910165787
139,2147.0167910456657
140,2194.3966670036316
141,2142.727958023548
142,2224.995083987713
143,2155.7932919859886
144,2169.306917011738
145,2385.0180829763412
146,2191.428499996662
147,2129.332417011261
148,2182.8634580373764
149,2132.380374968052
150,2187.0537080168724
151,2171.298583984375
152,2175.6392500400543
153,2193.3821249604225
154,2143.1657080054283
155,2203.807916998863
156,2487.073832988739
157,2140.946874976158
158,2173.1619169712067
159,2175.527707993984
160,2172.572250008583
161,2160.638292014599
162,2160.6485409736633
163,2131.3055419921875
164,2136.5475829839706
165,2176.372250020504
166,2156.887875020504
167,2149.1872079968452
168,2234.451417028904
169,2174.603792011738
170,2156.6000829935074
171,2192.6431669592857
172,2163.7778329849243
173,2151.7340000271797
174,2166.0503340363503
175,2159.3451250195503
176,2163.1694579720497
177,2166.054917037487
178,2153.87408298254
179,2183.1302919983864
180,2372.7275419831276
181,2410.9207089543343
182,2136.3324999809265
183,2189.8257499933243
184,2161.7160410284996
185,2203.1289590001106
186,2398.509000003338
187,2184.1236659884453
188,2161.39087498188
189,2154.7460409998894
190,2220.428916990757
191,2211.288958966732
192,2206.5049999952316
193,2502.5057079792023
194,2154.1077499985695
195,2183.3805409669876
196,2177.503374993801
197,2215.8240419626236
198,2178.305208027363
199,2346.767583012581
200,2130.1423330307007
201,2172.602790951729
202,2250.748208999634
203,2243.505457997322
204,2157.039749979973
205,2188.0150420069695
206,2192.4062910079956
207,2231.0918329954147
208,2336.5417079925537
209,2360.0272499918938
210,2393.5776250362396
211,2193.2849580049515
212,2169.92420899868
213,2245.2340829968452
214,2248.588792026043
215,2757.5336669683456
216,2208.175125002861
217,2157.2309159636497
218,2221.634625017643
219,2210.9129580259323
220,2146.7260000109673
221,2145.4539999961853
222,2176.73308300972
223,2176.899791955948
224,2213.1160830259323
225,2206.479458987713
226,2212.3604580163956
227,2242.818374991417
228,2218.805374979973
229,2234.8259580135345
230,2228.232667028904
231,2222.643958032131
232,2284.4752089977264
233,2304.9782090187073
234,2209.271874964237
235,2509.8904590010643
236,2257.587125003338
237,2345.9271669983864
238,2271.986082971096
239,2235.5026670098305
240,2303.2391250133514
241,2199.448082983494
242,2221.279832959175
243,2231.4392499923706
244,2391.1414999961853
245,2204.4749169945717
246,2310.9473329782486
247,2305.8973330259323
248,2327.971749961376
249,2227.85925000906
250,2256.2825829982758
251,2212.378040969372
252,2218.3126670122147
253,2251.4052079916
254,2245.0912079811096
255,2280.8476670384407
256,2280.4740000367165
257,2243.312584042549
258,2270.323167026043
259,2257.0410829782486
260,2242.507458984852
261,2208.029166996479
262,2198.3788340091705
263,2285.1732500195503
264,2175.9207079410553
265,2221.9308329820633
266,2219.3094170093536
267,2218.3499590158463
268,2253.9840829968452
269,2249.4633330106735
270,2208.1913749575615
271,2280.2961660027504
272,2228.1027079820633
273,2267.0901250243187
274,2199.1138330101967
275,2289.56274998188
276,2276.8770419955254
277,2442.0168750286102
278,2194.817167043686
279,2255.391541957855
280,2198.395708024502
281,2243.6925000548363
282,2227.0757499933243
283,2261.7747920155525
284,2293.2867909669876
285,2350.503875017166
286,2359.634750008583
287,2287.5340409874916
288,2368.7103329896927
289,2210.5837920308113
290,2386.2732499837875
291,2281.190625011921
292,2232.6146250367165
293,2340.826707959175
294,2268.231750011444
295,2283.326000034809
296,2285.8494170308113
297,2236.1604999899864
298,2282.732792019844
299,2315.0261249542236
300,2291.4527910351753
301,2329.706625044346
302,2261.922540962696
303,2270.143833041191
304,2290.732250034809
305,2258.589582979679
306,2228.009166955948
307,2243.764667034149
308,2260.649249970913
309,2258.568624973297
310,2269.839708983898
311,2262.589042007923
312,2255.916957974434
313,2218.0672909617424
314,2264.4176250100136
315,2331.988583981991
316,2274.29800003767
317,2441.8330409526825
318,2282.3090839982033
319,2273.3518750071526
