Iteration, VoteCastTime (ms), Gas (Unit), Gas Cost (USD)
1,882.3938339948654, 590497, 0.9377151409700001
2,879.0799999833107, 573373, 0.91052205773
1,874.3062499761581, 590497, 0.9377151409700001
2,899.4879170060158, 573397, 0.91056016997
1,893.0532910227776, 590485, 0.9376960848499999
2,888.0284579992294, 573385, 0.91054111385
3,893.7627079486847, 573373, 0.91052205773
4,898.1807909607887, 573397, 0.91056016997
5,890.8445420265198, 573409, 0.91057922609
6,869.9406250119209, 573373, 0.91052205773
7,884.0862920284271, 573385, 0.91054111385
8,891.0632919669151, 573361, 0.91050300161
9,885.5510829687119, 573373, 0.91052205773
10,894.4215840101242, 573385, 0.91054111385
11,886.8106249570847, 573397, 0.91056016997
12,915.4899169802666, 573361, 0.91050300161
13,922.527624964714, 573385, 0.91054111385
14,875.3271250128746, 573373, 0.91052205773
15,886.3647919893265, 573409, 0.91057922609
16,877.7060839533806, 573397, 0.91056016997
17,903.0665000081062, 573397, 0.91056016997
18,886.5767500400543, 573373, 0.91052205773
19,910.9163340330124, 573409, 0.91057922609
20,899.4204999804497, 573397, 0.91056016997
21,918.9757080078125, 573409, 0.91057922609
22,886.1625410318375, 573397, 0.91056016997
23,904.1895409822464, 573397, 0.91056016997
24,881.1773750185966, 573337, 0.91046488937
25,908.775916993618, 573373, 0.91052205773
26,892.0008749961853, 573409, 0.91057922609
27,883.0576660037041, 573385, 0.91054111385
28,862.126207947731, 573361, 0.91050300161
29,928.5497080087662, 573385, 0.91054111385
30,866.9867079854012, 573397, 0.91056016997
31,877.6779170036316, 573361, 0.91050300161
32,896.553916990757, 573373, 0.91052205773
33,899.862458050251, 573385, 0.91054111385
34,879.6913750171661, 573409, 0.91057922609
35,890.6449999809265, 573397, 0.91056016997
36,883.1890000104904, 573397, 0.91056016997
37,903.2377920150757, 573373, 0.91052205773
38,893.5155419707298, 573397, 0.91056016997
39,890.9079999923706, 573397, 0.91056016997
40,909.1940420269966, 573397, 0.91056016997
41,994.7516250014305, 573409, 0.91057922609
42,916.0362919569016, 573409, 0.91057922609
43,941.5042499899864, 573373, 0.91052205773
44,904.3086670041084, 573409, 0.91057922609
45,917.6764580011368, 573373, 0.91052205773
46,896.1259999871254, 573397, 0.91056016997
47,897.6382090449333, 573373, 0.91052205773
48,908.8748339414597, 573373, 0.91052205773
49,936.2406250238419, 573409, 0.91057922609
50,916.0098330378532, 573373, 0.91052205773
51,883.5014590024948, 573385, 0.91054111385
52,885.0840420126915, 573373, 0.91052205773
53,900.3179159760475, 573397, 0.91056016997
54,883.0085000395775, 573385, 0.91054111385
55,877.9304999709129, 573385, 0.91054111385
56,902.5170000195503, 573409, 0.91057922609
57,906.6058750152588, 573385, 0.91054111385
58,876.6253340244293, 573397, 0.91056016997
59,881.7618750333786, 573385, 0.91054111385
60,894.9270420074463, 573397, 0.91056016997
61,912.4898329973221, 573373, 0.91052205773
62,890.1413750052452, 573385, 0.91054111385
63,893.8578340411186, 573397, 0.91056016997
64,881.2221670150757, 573385, 0.91054111385
65,932.6210409998894, 573397, 0.91056016997
66,887.7423750162125, 573397, 0.91056016997
67,892.7358750104904, 573397, 0.91056016997
68,909.6360000371933, 573361, 0.91050300161
69,965.7659590244293, 573409, 0.91057922609
70,908.3234170079231, 573409, 0.91057922609
71,895.9648749828339, 573385, 0.91054111385
72,917.2693749666214, 573397, 0.91056016997
73,915.4037910103798, 573397, 0.91056016997
74,883.291541993618, 573397, 0.91056016997
75,899.3277500271797, 573385, 0.91054111385
76,881.1306250095367, 573385, 0.91054111385
77,906.1340420246124, 573397, 0.91056016997
78,914.0255419611931, 573397, 0.91056016997
79,894.9789590239525, 573397, 0.91056016997
80,891.7299999594688, 573397, 0.91056016997
81,915.9809170365334, 573397, 0.91056016997
82,903.690750002861, 573409, 0.91057922609
83,888.1532920002937, 573373, 0.91052205773
84,890.194540977478, 573409, 0.91057922609
85,909.0356670022011, 573397, 0.91056016997
86,894.1121670007706, 573397, 0.91056016997
87,898.3679999709129, 573409, 0.91057922609
88,889.6164579987526, 573373, 0.91052205773
89,912.4220420122147, 573409, 0.91057922609
90,953.9425420165062, 573385, 0.91054111385
91,911.5307079553604, 573397, 0.91056016997
92,886.5162090063095, 573397, 0.91056016997
93,936.7405419945717, 573409, 0.91057922609
94,891.1114159822464, 573373, 0.91052205773
95,894.1216250061989, 573385, 0.91054111385
96,909.1350419521332, 573385, 0.91054111385
97,931.349083006382, 573409, 0.91057922609
98,892.3924170136452, 573409, 0.91057922609
99,913.7363750338554, 573397, 0.91056016997
100,897.2233750224113, 573373, 0.91052205773
101,941.6082919836044, 573385, 0.91054111385
102,890.6231250166893, 573385, 0.91054111385
103,887.6714169979095, 573397, 0.91056016997
104,885.1980410218239, 573361, 0.91050300161
105,923.6437500119209, 573409, 0.91057922609
106,882.4694579839706, 573385, 0.91054111385
107,881.473542034626, 573409, 0.91057922609
108,871.881541967392, 573385, 0.91054111385
109,894.7501659989357, 573385, 0.91054111385
110,887.178415954113, 573409, 0.91057922609
111,880.3120830059052, 573385, 0.91054111385
112,876.356625020504, 573409, 0.91057922609
113,908.9759169816971, 573385, 0.91054111385
114,884.8486250042915, 573409, 0.91057922609
115,902.6762080192566, 573397, 0.91056016997
116,884.2705419659615, 573373, 0.91052205773
117,948.1347910165787, 573397, 0.91056016997
118,896.6128330230713, 573409, 0.91057922609
119,910.8074999451637, 573385, 0.91054111385
120,890.6220420002937, 573409, 0.91057922609
121,919.6376659870148, 573397, 0.91056016997
122,881.2107500433922, 573409, 0.91057922609
123,899.0390409827232, 573409, 0.91057922609
124,892.017332971096, 573409, 0.91057922609
125,923.0208750367165, 573397, 0.91056016997
126,884.5717079639435, 573397, 0.91056016997
127,880.7938339710236, 573373, 0.91052205773
128,883.1157919764519, 573385, 0.91054111385
129,911.1584169864655, 573385, 0.91054111385
130,889.5981670022011, 573409, 0.91057922609
131,898.0815420150757, 573409, 0.91057922609
132,928.2014999985695, 573409, 0.91057922609
